date,year,month,week_start_date,week_number,week_number_year,trailing_7d,attribution_type,channel_type,strategy,platform,channel,market,investment,agency_fees,violet_fee,sessions,phone_calls,form_submissions,leads,first_appointments_completed,second_appointments_completed,repeat_appointments_completed,first_revenue,repeat_revenue,twenty_one_days_revenue,twenty_eight_days_revenue,ninety_days_revenue,one_hundred_eighty_days_revenue,contribution_margin
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Texas,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Unknown,0.0,0.0,0.0,128.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,DMV,0.0,0.0,0.0,45.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,New York,0.0,0.0,0.0,101.0,0.0,3.0,3.0,3.0,2.0,34.0,706.0,5678.0,0.0,0.0,0.0,0.0,2250.4
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Colorado,0.0,0.0,0.0,54.0,0.0,7.0,7.0,1.0,0.0,31.0,190.0,5232.0,0.0,0.0,0.0,0.0,2021.4
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,New York,851.2,0.0,0.0,52.0,0.0,2.0,2.0,1.0,0.0,3.0,259.0,505.0,0.0,0.0,0.0,0.0,254.8
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,New York,49.1,0.0,0.0,26.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,662.0,0.0,0.0,0.0,0.0,228.9
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google PerformanceMax,New York,126.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,174.0,0.0,0.0,0.0,0.0,56.4
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,DMV,449.5,0.0,0.0,21.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,DMV,30.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google PerformanceMax,DMV,201.7,0.0,0.0,15.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,Colorado,16.8,0.0,0.0,20.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1771.0,0.0,0.0,0.0,0.0,634.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google PerformanceMax,Colorado,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,Texas,98.7,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,Colorado,443.4,0.0,0.0,18.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,1957.0,0.0,0.0,0.0,0.0,711.8
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,Texas,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Bing Organic,Unknown,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,DuckDuckGo Organic,Colorado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,161.0,0.0,0.0,0.0,0.0,57.6
